Log Time      ;PG Name                       ;   CPU (%);MEMORY (M)
20220307110927;audiodg                       ;        4%;   36.38MB
20220307111829;audiodg                       ;        5%;   36.25MB
20220307111839;audiodg                       ;        1%;   36.25MB
20220307111839;devenv#3                      ;        2%;   512.2MB
20220307111926;audiodg                       ;        2%;   36.15MB
20220307111932;audiodg                       ;        4%;   36.15MB
20220307111932;firefox#1                     ;        1%;  187.44MB
20220307111932;firefox#7                     ;        1%;  387.95MB
20220307111934;audiodg                       ;        3%;   36.15MB
20220307111934;firefox#7                     ;        1%;   387.7MB
20220307111937;LINE                          ;        2%;   123.9MB
20220307112257;devenv#3                      ;        5%;  513.75MB
20220307112259;System                        ;        1%;    0.12MB
20220307112259;audiodg                       ;        2%;    36.2MB
20220307112259;firefox                       ;        8%;  313.29MB
20220307112259;sqlservr                      ;        8%;  112.23MB
20220307112319;audiodg                       ;        1%;    36.2MB
20220307112319;firefox#7                     ;        1%;  391.18MB
20220307112322;audiodg                       ;        1%;    36.2MB
20220307112322;firefox                       ;        1%;  300.28MB
20220307112334;audiodg                       ;        1%;    36.2MB
20220307112334;firefox                       ;        1%;  300.37MB
20220307112336;audiodg                       ;        2%;    36.2MB
20220307112339;audiodg                       ;        3%;    36.2MB
20220307112339;sqlservr                      ;        5%;  112.21MB
20220307112347;WmiPrvSE#2                    ;        1%;   16.31MB
20220307112350;WmiPrvSE#2                    ;        1%;   16.32MB
20220307112350;audiodg                       ;        4%;    36.2MB
20220307112350;firefox                       ;        2%;  300.31MB
20220307112353;audiodg                       ;        5%;    36.1MB
20220307112353;devenv#1                      ;        1%;  451.55MB
20220307112353;devenv#3                      ;        1%;  511.82MB
20220307112353;firefox#1                     ;        1%;  187.44MB
20220307112357;audiodg                       ;        1%;    36.1MB
20220307112359;audiodg                       ;        3%;    36.1MB
20220307112359;firefox#7                     ;        1%;  389.17MB
20220307112402;audiodg                       ;        2%;    36.1MB
20220307112402;firefox#7                     ;        1%;  389.17MB
20220307112405;audiodg                       ;        4%;    36.1MB
20220307112405;firefox#1                     ;        1%;  187.44MB
20220307112405;firefox#7                     ;        1%;  389.17MB
20220307112852;audiodg                       ;        1%;   36.13MB
20220307112859;WmiPrvSE#2                    ;        1%;   16.23MB
20220307112859;audiodg                       ;        2%;   36.13MB
20220307112859;firefox                       ;        1%;  302.31MB
20220307112859;firefox#1                     ;        1%;  187.44MB
20220307112859;firefox#7                     ;        1%;  360.73MB
20220307112901;audiodg                       ;        4%;   36.13MB
20220307112904;audiodg                       ;        2%;   36.13MB
20220307112904;firefox                       ;        1%;   302.3MB
20220307112904;firefox#1                     ;        1%;  187.44MB
20220307112907;audiodg                       ;        1%;   36.13MB
20220307112921;LINE                          ;        2%;   72.49MB
20220307112921;WmiPrvSE#2                    ;        1%;   16.26MB
20220307112921;audiodg                       ;        2%;   36.13MB
20220307112921;firefox#7                     ;        1%;  360.68MB
20220307112923;System                        ;        1%;    0.12MB
20220307112923;WmiApSrv                      ;        1%;    9.41MB
20220307112923;WmiPrvSE#2                    ;        1%;   16.14MB
20220307112923;audiodg                       ;        3%;   36.13MB
20220307112923;firefox#7                     ;        2%;  360.68MB
20220307112926;LINE                          ;        1%;   72.52MB
20220307112926;audiodg                       ;        3%;   36.13MB
20220307112926;firefox#1                     ;        1%;  187.44MB
20220307112929;audiodg                       ;        4%;    36.1MB
20220307112931;audiodg                       ;        2%;    36.1MB
20220307112931;firefox#1                     ;        1%;  187.44MB
20220307112934;audiodg                       ;        4%;    36.1MB
20220307113017;sqlservr                      ;       10%;  112.74MB
20220307113019;System                        ;        1%;    0.12MB
20220307113019;WmiPrvSE#2                    ;        1%;   16.21MB
20220307113019;firefox#1                     ;        1%;  187.44MB
20220307113019;sqlservr                      ;        9%;  112.74MB
20220307113118;audiodg                       ;        1%;    36.1MB
20220307113118;firefox                       ;        1%;  303.39MB
20220307113230;System                        ;        1%;    0.12MB
20220307113230;devenv#3                      ;        2%;  550.08MB
20220307113230;firefox#7                     ;        1%;  360.38MB
20220307113230;sqlservr                      ;       13%;   113.2MB
20220307113244;LINE                          ;        2%;   73.61MB
20220307113244;WmiPrvSE#2                    ;        1%;   16.21MB
20220307113244;audiodg                       ;        3%;   36.13MB
20220307113244;firefox#1                     ;        1%;  187.44MB
20220307113324;audiodg                       ;        4%;   36.13MB
20220307113324;firefox#1                     ;        1%;  187.44MB
20220307113326;audiodg                       ;        2%;   36.13MB
20220307113337;PerfWatson2                   ;        3%;   45.88MB
20220307113337;System                        ;        2%;    0.12MB
20220307113337;sqlservr                      ;       14%;  113.23MB
20220307113339;audiodg                       ;        3%;   36.13MB
20220307113342;audiodg                       ;        2%;   36.13MB
20220307113342;firefox#1                     ;        2%;  187.44MB
20220307113347;audiodg                       ;        2%;   36.13MB
20220307113821;System                        ;        2%;    0.12MB
20220307113821;audiodg                       ;        2%;   40.58MB
20220307113821;devenv#3                      ;        2%;  550.63MB
20220307113823;audiodg                       ;        4%;   40.58MB
20220307113826;audiodg                       ;        2%;   40.56MB
20220307113953;NewMonitorCPU                 ;        2%;   46.41MB
20220307114005;audiodg                       ;        5%;   40.58MB
20220307114007;audiodg                       ;        2%;   40.58MB
20220307114036;devenv#3                      ;        4%;  511.89MB
20220307114041;audiodg                       ;        2%;   40.58MB
20220307114045;audiodg                       ;        4%;   40.58MB
20220307114045;firefox#1                     ;        2%;  187.44MB
20220307114048;audiodg                       ;        2%;   40.58MB
20220307114053;audiodg                       ;        3%;   40.58MB
20220307114135;firefox                       ;        2%;  310.85MB
20220307114138;System                        ;        2%;    0.12MB
20220307114138;svchost#56                    ;        2%;   29.12MB
