Log Time      ;TotalCPU (%)
20220307110927;       20%
20220307111829;       20%
20220307111839;       13%
20220307111926;       22%
20220307111932;       15%
20220307111934;       17%
20220307111937;       16%
20220307112257;       21%
20220307112259;       21%
20220307112319;       20%
20220307112322;       18%
20220307112334;       17%
20220307112336;       18%
20220307112339;       22%
20220307112347;       19%
20220307112350;       16%
20220307112353;       18%
20220307112357;       17%
20220307112359;       16%
20220307112402;       18%
20220307112405;       21%
20220307112852;       20%
20220307112859;       19%
20220307112901;       21%
20220307112904;       18%
20220307112907;       20%
20220307112921;       18%
20220307112923;       20%
20220307112926;       15%
20220307112929;       19%
20220307112931;       18%
20220307112934;       19%
20220307113017;       21%
20220307113019;       22%
20220307113118;       19%
20220307113230;       29%
20220307113244;       16%
20220307113324;       21%
20220307113326;       14%
20220307113337;       20%
20220307113339;       20%
20220307113342;       19%
20220307113347;       16%
20220307113821;       16%
20220307113823;       11%
20220307113826;       14%
20220307113953;       25%
20220307114005;       14%
20220307114007;       13%
20220307114036;       12%
20220307114041;       15%
20220307114045;       14%
20220307114048;       11%
20220307114053;       13%
20220307114135;       19%
20220307114138;       18%
20220307114140;       14%
20220307114145;       17%
20220307114147;       15%
20220307114150;       14%
20220307114152;       14%
20220307114421;       23%
20220307114423;       12%
20220307114425;       15%
20220307114543;       27%
20220307114549;       15%
20220307114600;       14%
20220307114602;       14%
20220307114604;       11%
20220307114606;       12%
20220307114608;       07%
20220307114610;       09%
20220307114612;       21%
20220307115235;       18%
20220307115239;       14%
20220307115243;       11%
20220307115245;       11%
20220307115249;       16%
20220307115250;       15%
20220307115252;       13%
20220307115255;       12%
20220307115256;       14%
20220307115258;       13%
20220307115300;       13%
20220307115301;       12%
20220307115303;       16%
20220307115305;       09%
20220307115307;       19%
20220307115309;       16%
20220307115310;       14%
20220307115312;       09%
20220307115314;       13%
20220307115506;       18%
20220307115508;       12%
20220307115509;       13%
20220307115511;       12%
20220307115512;       13%
20220307115542;       26%
20220307115543;       18%
20220307115545;       17%
20220307115910;       17%
20220307115913;       12%
20220307115915;       11%
20220307115919;       09%
20220307120009;       21%
20220307120010;       16%
20220307120013;       13%
20220307130137;       19%
20220307130142;       06%
20220307130143;       06%
20220307130148;       06%
20220307130150;       06%
20220307130347;       18%
20220307130349;       12%
20220307130351;       11%
20220307130353;       10%
20220307130354;       08%
20220307130356;       11%
20220307130357;       12%
20220307130439;       16%
20220307130455;       17%
20220307130457;       14%
20220307130739;       11%
20220307130742;       11%
20220307130744;       09%
20220307130757;       14%
20220307130758;       16%
20220307130800;       16%
20220307130802;       13%
20220307130803;       11%
20220307130805;       12%
20220307130809;       11%
20220307131703;       19%
20220307131705;       14%
20220307131706;       15%
20220307131708;       12%
20220307131709;       14%
20220307131713;       14%
20220307131716;       13%
20220307132018;       18%
20220307132021;       13%
20220307132023;       12%
20220307132024;       12%
20220307132025;       14%
20220307132027;       12%
20220307132028;       13%
20220307132030;       13%
20220307132031;       13%
20220307132032;       12%
20220307132034;       13%
20220307132035;       15%
20220307132037;       16%
20220307132038;       13%
20220307132040;       12%
20220307132041;       14%
20220307132043;       14%
20220307132044;       14%
20220307132045;       17%
20220307132047;       10%
20220307132048;       11%
20220307132050;       11%
20220307132052;       10%
20220307132053;       10%
20220307132056;       11%
20220307132353;       13%
20220307132354;       15%
20220307132355;       16%
20220307132357;       11%
20220307132358;       10%
20220307132359;       12%
20220307132401;       12%
20220307132402;       10%
20220307132405;       11%
20220307132406;       11%
20220307132612;       19%
20220307132614;       13%
20220307132615;       11%
20220307132618;       20%
20220307132619;       34%
20220307132621;       19%
20220307132622;       10%
20220307132623;       10%
20220307132625;       12%
20220307132626;       15%
20220307132627;       14%
20220307132629;       14%
20220307132630;       12%
20220307132631;       14%
20220307132820;       18%
20220307132822;       16%
20220307132823;       13%
20220307132824;       13%
20220307132826;       17%
20220307132827;       37%
20220307132829;       44%
20220307132830;       13%
20220307132831;       12%
20220307132833;       13%
20220307132834;       12%
20220307132835;       15%
20220307132837;       14%
20220307132838;       14%
20220307132839;       15%
20220307133200;       18%
20220307133201;       12%
20220307133202;       14%
20220307133204;       14%
20220307133205;       11%
20220307133208;       28%
20220307133209;       20%
20220307133211;       20%
20220307133212;       18%
20220307133241;       13%
20220307133242;       12%
20220307133245;       15%
20220307133246;       13%
20220307133248;       12%
20220307133249;       12%
20220307133250;       15%
20220307133252;       12%
20220307133253;       14%
20220307133428;       14%
20220307133429;       11%
20220307133431;       09%
20220307133438;       12%
20220307133440;       11%
20220307133441;       09%
20220307133443;       14%
20220307133444;       14%
20220307133447;       12%
20220307133448;       14%
20220307133716;       21%
20220307133719;       12%
20220307133721;       14%
20220307133722;       14%
20220307133723;       14%
20220307133725;       12%
20220307133726;       10%
20220307134125;       19%
20220307134132;       10%
20220307134135;       12%
20220307134136;       15%
20220307134138;       11%
20220307134139;       09%
20220307134142;       15%
20220307134144;       14%
20220307134145;       13%
20220307134148;       15%
20220307134150;       14%
20220307134349;       18%
20220307134352;       08%
20220307134353;       06%
20220307134545;       16%
20220307134547;       10%
20220307134548;       12%
20220307134551;       12%
20220307134552;       10%
20220307134554;       11%
20220307134557;       07%
20220307134601;       11%
20220307134602;       06%
20220307134604;       09%
20220307134605;       06%
20220307134635;       09%
20220307134638;       10%
20220307134640;       07%
20220307134641;       08%
20220307134643;       12%
20220307134644;       12%
20220307134647;       09%
20220307134650;       10%
20220307134652;       11%
20220307134653;       08%
20220307155221;       18%
20220307155227;       11%
20220307155229;       10%
20220307155231;       14%
20220307155330;       19%
20220307155334;       12%
20220307155336;       11%
20220307155338;       13%
20220307155340;       09%
20220307155343;       12%
20220307155344;       09%
20220307155347;       13%
20220307155349;       10%
20220307155350;       11%
20220307155352;       16%
20220307155353;       18%
20220307155355;       20%
20220307155357;       14%
20220307155400;       09%
20220307155403;       11%
20220307155405;       10%
20220307155417;       13%
20220307155457;       13%
20220307155459;       18%
20220307155500;       19%
20220307155633;       11%
20220307155635;       11%
20220307155638;       14%
20220307155639;       14%
20220307155641;       17%
20220307155645;       13%
20220307155646;       09%
20220307155648;       12%
20220307155649;       11%
20220307155651;       12%
20220307155653;       12%
20220307155658;       13%
20220307155700;       10%
20220307155702;       11%
20220307155703;       11%
20220307155705;       09%
20220307155706;       15%
20220307155708;       13%
20220307155710;       21%
20220307155712;       16%
20220307155713;       13%
20220307155716;       10%
20220307155718;       10%
20220307155724;       10%
20220307155725;       10%
20220307155727;       10%
